"Município","","","Nome do Abrigo","","","","","","","","","","","","","Endereço Abrigo","","","","","","","","","","Capacidade",""
"PORTO ALEGRE","","","CENTRO AFRICANO","","","","","","","","","","","","","manuel lentz da silva, 23. Santa Tereza","","","","","","","","","","26",""
"PORTO ALEGRE","","","Centro Altair Cantine","","","","","","","","","","","","","Rua Vereador Moises Bonetti 5","","","","","","","","","","179",""
"PORTO ALEGRE","","","Centro Assistencial PAZ","","","","","","","","","","","","","Tarsila Moraes Dutra 799","","","","","","","","","","120",""
"PORTO ALEGRE","","","Centro Social Pe. Leonardi (Paróquia Nossa Senhora Aparecida da Restinga)","","","","","","","","","","","","","ESTRADA CHACARA DO BANCO 71, RESTINGA","","","","","","","","","","42",""
"PORTO ALEGRE","","","Centro Vida","","","","","","","","","","","",""," Av. Baltazar de Oliveira Garcia - Costa E Silva, Porto Alegre - RS, 91150-000","","","","","","","","","","450",""
"PORTO ALEGRE","","","CETE","","","","","","","","","","","","","Gonçalves Dias, 700","","","","","","","","","","210",""
"PORTO ALEGRE","","","Clube Lindóia","","","","","","","","","","","","","Tv. Cmdte Gustavo Cramer, 90 - Jardim Lindóia","","","","","","","","","","224",""
"PORTO ALEGRE","","","Complexo Esportivo Da VoVó Sport’s Bar","","","","","","","","","","","",""," Estr. Martim Félix Berta - Sarandi","","","","","","","","","","150",""
"PORTO ALEGRE","","","Consepro","","","","","","","","","","","","","Estrada Salomoni, 1083","","","","","","","","","","30",""
"PORTO ALEGRE","","","CTG Estância da Figueira","","","","","","","","","","","","","Rua Vergara, nº 5345, Belém Velho","","","","","","","","","","56",""
"PORTO ALEGRE","","","CTG Estância do Rubem Berta","","","","","","","","","","","","","Rua Prof Augusto Osvaldo, Bairro Rubem Berta","","","","","","","","","","15",""
"PORTO ALEGRE","","","CTG ESTANCIA PASQUALETTO","","","","","","","","","","","","","RUA SÃO GUILHERME 1800","","","","","","","","","","37",""
"PORTO ALEGRE","","","CTG Inhanduí","","","","","","","","","","","","","rua gervasio da rosa, 190. Vila Nova","","","","","","","","","","64",""
"PORTO ALEGRE","","","CTG Maragatos","","","","","","","","","","","","","ouro preto, 408, acesso pelo beco - bairro jardim floresta","","","","","","","","","","42",""
"PORTO ALEGRE","","","CTG Maragatos","","","","","","","","","","","","","Rua Ouro Preto, 408","","","","","","","","","","42",""
"PORTO ALEGRE","","","CTG Recanto Nativo","","","","","","","","","","","","","Rua Engenheiro Ildo Meneghetti","","","","","","","","","","32",""
"PORTO ALEGRE","","","CTG RODA DE CHIMARRÃO","","","","","","","","","","","","","Av. da Serraria, 1835, guarujá","","","","","","","","","","90",""
"PORTO ALEGRE","","","De tudo da Rose. Antiga sede do clubinho","","","","","","","","","","","","","Travessa são Pedro número 180 bairro bom jesus","","","","","","","","","","22",""
"PORTO ALEGRE","","","DESCOBRINDO O SABER","","","","","","","","","","","","","Rua Jacarei, nº 88","","","","","","","","","","19",""
"PORTO ALEGRE","","","EEEF JERÔNIMO DE ALBUQUERQUE","","","","","","","","","","","","","R. Juarez Távora, 550 - Vila Joao Pessoa, Porto Alegre - RS, 91520-100","","","","","","","","","","29",""
"PORTO ALEGRE","","","EMEF Aramy Silva","","","","","","","","","","","","","Rua Chico Pedro 390- Camaqua","","","","","","","","","","100",""
"PORTO ALEGRE","","","ENJOY SUSHI","","","","","","","","","","","","","Av. Coronel Marcos 1085, bairro pedra redonda / em frente aabb","","","","","","","","","","38",""
"PORTO ALEGRE","","","Escola Ana Neri","","","","","","","","","","","","","Rua Joaquim Silveira 738","","","","","","","","","","95",""
"PORTO ALEGRE","","","Escola Estadual Aurélio Reis","","","","","","","","","","","","","Rua Ouro Preto,  408","","","","","","","","","","70",""
"PORTO ALEGRE","","","Escola Estadual Ensino F undamental Gen Iba Ilha Moreira","","","","","","","","","","","","","Rua 1 Cefer 1,  número 338.","","","","","","","","","","15",""
"PORTO ALEGRE","","","Escola Estadual Infante Dom Henrique","","","","","","","","","","","","","Rua Gonçalves Dias, 1022","","","","","","","","","","45",""
"PORTO ALEGRE","","","Escola Estadual Júlio de Castilhos - Julínho","","","","","","","","","","","","","Av. piratini n 76 Santana","","","","","","","","","","110",""
"PORTO ALEGRE","","","Escola Estadual Pinto Bandeira","","","","","","","","","","","","","Rua Coronel Claudino, 254","","","","","","","","","","110",""
"PORTO ALEGRE","","","Escola Estadual Porto Alegre","","","","","","","","","","","","","Rua João Dallegrave, 130. Morro Santana","","","","","","","","","","100",""
"PORTO ALEGRE","","","Escola Estadual Sarmento Leite","","","","","","","","","","","","","Rua Eugênio du Pasquier","","","","","","","","","","73",""
"PORTO ALEGRE","","","ESCOLA GOMES CARNEIRO","","","","","","","","","","","","","Praça Paulo de Aragão Bozano, SN Vila Ipiranga, Cep 91360- 160,","","","","","","","","","","132",""
"PORTO ALEGRE","","","Escola Gonçalves Dias","","","","","","","","","","","","","Rua Candiota 145 - Passo da areia- entrada pelos fundos","","","","","","","","","","58",""
"PORTO ALEGRE","","","Escola Jeronimo de Albuquerque","","","","","","","","","","","","","Rua Juarez Tavora, nº 550","","","","","","","","","","29",""
"PORTO ALEGRE","","","Escola Luciana de Abreu","","","","","","","","","","","","","Rua Gen Jacinto Osório, 60","","","","","","","","","","31",""
"PORTO ALEGRE","","","Escola Municipal Grande Oriente","","","","","","","","","","","","","Rua Wolfan Medsler, 600 - Rubem berta","","","","","","","","","","253",""
"PORTO ALEGRE","","","Escola Santa Rosa","","","","","","","","","","","","","Bernardino de Oliveira Paim, 665. Santa Rosa","","","","","","","","","","120",""
"PORTO ALEGRE","","","Escola Santos Dummon- anexo PET","","","","","","","","","","","","","Rua Caete, 328","","","","","","","","","","90",""
